title,company,location,remote,apply_url,posted_days_ago,stipend_min,stipend_max,currency,duration_months,required_months,description
Machine Learning Intern,Zerodha,"Bengaluru, Karnataka, India",false,https://example.com/careers/zerodha/1,2,40000,55000,INR,6,6,"Join our data science team to work on trade recommendation models used by millions of retail investors.\n\nRequirements:\n- Strong Python and SQL\n- Experience with PyTorch or TensorFlow\n- Familiarity with pandas, NumPy and scikit-learn\n- Understanding of machine learning fundamentals\n- Git and Linux\n\nNice to have:\n- Docker and Kubernetes\n- Exposure to AWS\n- Experience with recommender systems"
Backend Engineering Intern,Razorpay,"Bengaluru, Karnataka, India",false,https://example.com/careers/razorpay/2,4,35000,45000,INR,6,3,"Build and scale the payment APIs that process billions of rupees every month.\n\nRequirements:\n- Node.js or Java\n- REST API design\n- SQL and PostgreSQL\n- Git, Linux\n- Data structures and algorithms\n\nNice to have:\n- Docker\n- Kafka\n- Redis\n- Microservices experience"
Frontend Developer Intern,CRED,"Bengaluru, Karnataka, India",false,https://example.com/careers/cred/3,1,40000,50000,INR,6,0,"Work on the interfaces that millions of members interact with daily.\n\nRequirements:\n- React and JavaScript\n- HTML, CSS\n- Redux or similar state management\n- Git\n\nNice to have:\n- TypeScript\n- Tailwind CSS\n- React Native\n- Testing with Jest"
Full Stack Intern,Zoho,"Chennai, Tamil Nadu, India",false,https://example.com/careers/zoho/4,6,25000,30000,INR,6,0,"Work across our productivity suite, touching both the API layer and the UI.\n\nRequirements:\n- JavaScript and Node.js\n- React or Angular\n- MongoDB or SQL\n- Express\n- Git\n\nNice to have:\n- Docker\n- REST APIs\n- Agile experience"
Data Science Intern,Swiggy,"Bengaluru, Karnataka, India",false,https://example.com/careers/swiggy/5,3,45000,60000,INR,6,6,"Improve delivery time prediction and demand forecasting models.\n\nRequirements:\n- Python, pandas, NumPy\n- SQL\n- Statistics and hypothesis testing\n- Machine learning\n- Data analysis\n\nNice to have:\n- Spark\n- Airflow\n- Time series forecasting\n- Tableau or Power BI"
UI/UX Design Intern,Postman,"Bengaluru, Karnataka, India",false,https://example.com/careers/postman/6,5,30000,40000,INR,6,0,Design workflows used by 25 million developers.\n\nRequirements:\n- Figma\n- UI design and visual design\n- Wireframing and prototyping\n- User research\n\nNice to have:\n- Design systems\n- Accessibility and WCAG\n- Motion design\n- HTML and CSS
DevOps Intern,Freshworks,"Chennai, Tamil Nadu, India",false,https://example.com/careers/freshworks/7,8,30000,38000,INR,6,3,Help run the infrastructure behind our SaaS products.\n\nRequirements:\n- Linux\n- Docker\n- CI/CD with Jenkins or GitHub Actions\n- Bash scripting\n- Git\n\nNice to have:\n- Kubernetes\n- Terraform\n- AWS\n- Prometheus and Grafana
Android Developer Intern,Dream11,"Mumbai, Maharashtra, India",false,https://example.com/careers/dream11/8,7,40000,50000,INR,6,3,Ship features to one of India's largest sports apps.\n\nRequirements:\n- Kotlin\n- Java\n- Android SDK\n- REST APIs\n- Git\n\nNice to have:\n- Jetpack Compose\n- Unit testing\n- Firebase
AI Research Intern,Sarvam AI,"Bengaluru, Karnataka, India",false,https://example.com/careers/sarvam-ai/9,1,60000,80000,INR,6,6,Work on Indic language models alongside our research team.\n\nRequirements:\n- Python\n- PyTorch\n- Deep learning\n- NLP\n- Transformers and Hugging Face\n\nNice to have:\n- LLM fine-tuning\n- Distributed training\n- Research publications
Product Management Intern,Meesho,"Bengaluru, Karnataka, India",false,https://example.com/careers/meesho/10,9,40000,50000,INR,6,0,Own a slice of the seller experience end to end.\n\nRequirements:\n- Product management fundamentals\n- SQL\n- Excel or Google Sheets\n- Communication skills\n- Analytical thinking\n\nNice to have:\n- Market research\n- Figma\n- A/B testing
Software Engineering Intern,Atlassian,"Remote, India",true,https://example.com/careers/atlassian/11,2,50000,65000,INR,6,0,Remote internship on our developer tooling team.\n\nRequirements:\n- Java or Python\n- Data structures and algorithms\n- REST APIs\n- Git\n- SQL\n\nNice to have:\n- React\n- AWS\n- Docker\n- Unit testing
Backend Intern (Python),Hasura,Remote,true,https://example.com/careers/hasura/12,3,35000,45000,INR,6,0,Work on GraphQL tooling used by engineering teams worldwide.\n\nRequirements:\n- Python\n- PostgreSQL\n- GraphQL\n- Docker\n- Linux\n\nNice to have:\n- Go\n- Kubernetes\n- Open source contributions
Data Engineering Intern,Nykaa,"Mumbai, Maharashtra, India",false,https://example.com/careers/nykaa/13,11,30000,40000,INR,6,3,Build the pipelines that power merchandising analytics.\n\nRequirements:\n- Python\n- SQL\n- ETL and data pipelines\n- Airflow\n- Git\n\nNice to have:\n- Spark\n- dbt\n- BigQuery or Snowflake\n- AWS
Frontend Intern,Groww,"Bengaluru, Karnataka, India",false,https://example.com/careers/groww/14,4,35000,45000,INR,6,0,Build investing interfaces that make finance approachable.\n\nRequirements:\n- React\n- JavaScript\n- HTML and CSS\n- Redux\n- Git\n\nNice to have:\n- Next.js\n- TypeScript\n- Webpack or Vite\n- Accessibility
